"Ghana, WHOLESALE, Tamale, Maize, USD/Kg","Ghana, WHOLESALE, Kumasi, Maize, USD/Kg","Ghana, WHOLESALE, Bolgatanga, Maize, USD/Kg","Ghana, WHOLESALE, Accra, Maize, USD/Kg","Kenya, WHOLESALE, Nakuru, Maize, USD/Kg","Kenya, WHOLESALE, Eldoret, Maize, USD/Kg","Kenya, WHOLESALE, Eldoret, Maize, USD/Kg","Kenya, WHOLESALE, Nakuru, Maize, USD/tonne","Kenya, WHOLESALE, Eldoret, Maize, USD/tonne","Rwanda, WHOLESALE, Kigali, Maize, USD/tonne","Rwanda, WHOLESALE, Ruhengeri, Maize, USD/tonne","Uganda, WHOLESALE, Masindi, Maize, USD/tonne","Uganda, WHOLESALE, Lira, Maize, USD/tonne","Uganda, WHOLESALE, Kampala, Maize, USD/tonne"
0.2519,0.4264,0.317,0.4434,0.3492,0.35456,0.33292,0.34426,0.39731,0.32386,0.2534,0.3783,0.33154,0.27549
0.2774,0.4134,0.3183,0.4477,0.33292,0.34426,0.32747,0.32191,0.3845,0.323,0.2257,0.26333,0.2916,0.2693
0.2998,0.4178,0.3316,0.4536,0.32747,0.32191,0.3428,0.31168,0.38125,0.39594,0.23829,0.22555,0.28993,0.28522
0.2869,0.4183,0.3148,0.4489,0.3428,0.31168,0.31481,0.3161,0.37633,0.43894,0.2218,0.24484,0.2837,0.2328
0.2555,0.4126,0.288,0.4631,0.31481,0.3161,0.33326,0.3346,0.38522,,0.2388,0.2424,0.2532,0.282
0.2557,0.4129,0.2824,0.4555,0.33326,0.3346,0.36917,0.34186,0.41859,,0.16658,0.22397,0.24769,0.26744
0.2541,0.375,0.2779,0.4645,0.36917,0.34186,0.38831,0.36461,0.4964,,0.2424,0.2314,0.21726,0.34845
0.284,0.4563,0.374,0.5159,0.38831,0.36461,0.42168,0.41673,0.5127,,0.3428,0.25655,0.269,0.35936
0.375,0.5823,0.3666,0.661,0.42168,0.41673,0.4473,0.4186,0.5362,,0.34811,0.36646,0.38132,0.3691
0.3829,0.6382,0.3723,0.676,0.4473,0.4186,0.4371,0.42725,0.43871,0.48267,0.3592,0.3672,0.39242,0.33658
0.424,0.7223,0.483,0.6387,0.4371,0.42725,0.4278,0.44571,0.4576,0.42699,0.32667,0.38161,0.38377,0.28136
0.4612,0.777,0.4252,0.6716,0.4278,0.44571,0.38412,0.3597,0.38791,0.4175,0.2495,0.3451,0.36165,0.27385
0.3885,0.596,0.412,0.6195,0.38412,0.3597,0.3588,0.37225,0.37385,0.49417,0.2121,0.26476,0.27646,0.21777
0.3752,0.6179,0.42,0.5911,0.3588,0.37225,0.33441,0.37326,0.36475,0.48751,0.21326,0.2547,0.2542,0.2554
0.3667,0.611,0.3968,0.596,0.33441,0.37326,0.3755,0.37629,0.363,0.48117,0.22995,0.23928,0.23833,0.28351
0.415,0.6194,0.415,0.6334,0.3755,0.37629,0.3873,0.37949,0.3852,0.48988,0.2744,0.24123,0.24296,0.3752
0.3687,0.6549,0.4431,0.5757,0.3873,0.37949,0.33479,0.3682,0.42666,0.52678,0.21852,0.27854,0.28863,0.23334
0.3123,0.4896,0.3497,0.4571,0.33479,0.3682,0.3444,0.32375,0.35935,0.425,0.1997,0.2276,0.22999,0.2938
0.371,0.531,0.3512,0.4214,0.3444,0.32375,0.34585,0.3444,0.35382,0.33336,0.29289,0.3354,0.23365,0.19471
0.3181,0.5654,0.3791,0.4599,0.34585,0.3444,0.3974,0.4311,0.3646,0.33279,0.23749,,0.37553,0.19942
0.4392,0.552,0.3977,0.59,0.3974,0.4311,0.45462,0.53977,0.39392,0.3339,0.23182,,0.4644,
0.375,0.5516,0.365,0.5449,0.45462,0.53977,0.42716,0.41164,0.41593,0.33261,0.19112,0.22457,0.26962,
0.3659,0.5389,0.3825,0.5372,0.42716,0.41164,0.35532,0.441,0.33992,0.3336,0.18817,0.2268,0.27582,
0.3137,0.333,0.3798,0.4789,0.35532,0.441,0.28957,0.31235,0.3933,0.19865,,0.2142,0.27335,
0.2532,0.3332,0.2799,0.3815,0.28957,0.31235,0.24473,0.25885,0.369,0.19389,,0.2867,0.27786,
0.2533,0.3333,0.2799,0.3816,0.24473,0.25885,0.2242,0.2349,0.24575,,,,0.2274,
0.2534,0.3184,0.281,0.485,0.2242,0.2349,0.17325,0.1636,0.29216,0.18485,,,0.23121,
0.2512,0.2957,0.2728,0.3822,0.17325,0.1636,0.17143,0.16575,0.2491,0.2586,,,0.19312,
0.2417,0.2837,0.2518,0.3593,0.17143,0.16575,0.1663,0.15896,0.2394,,,,0.17225,
0.256,0.315,0.256,0.315,0.1663,0.15896,0.15446,0.161,0.241,0.18473,,,0.13282,
0.2242,0.2971,0.227,0.341,0.15446,0.161,0.16161,0.14921,0.19831,0.2258,,,0.11949,
0.2365,0.3364,0.2523,0.3487,0.16161,0.14921,0.16478,0.1581,0.1716,0.2132,,,0.1594,
0.3195,0.359,0.2514,0.3963,0.16478,0.1581,0.1922,0.15469,0.1974,0.2194,,,0.11626,
0.2515,0.3494,0.2683,0.453,0.1922,0.15469,0.25,0.2663,0.2374,0.21278,,,0.12223,
0.2617,0.348,0.2951,0.475,0.25,0.2663,0.24189,0.2735,0.22122,0.22286,,,0.1445,
0.251,0.373,0.2961,0.4145,0.24189,0.2735,0.2429,0.3188,0.248,0.25115,,,0.15659,
0.2558,0.2681,0.2963,0.3828,0.2429,0.3188,0.26383,0.27874,0.2147,0.2659,,,0.1399,
0.2537,0.333,0.2925,0.3594,0.26383,0.27874,0.31212,0.28721,0.2153,,,,0.16292,
0.256,0.3435,0.2839,0.3733,0.31212,0.2873,0.32643,0.3193,0.38535,,,,0.198,
0.2527,0.3678,0.288,0.3749,0.32643,0.3193,0.32489,0.31674,0.38511,,,,0.34189,
0.2432,0.494,0.28,0.364,0.32489,0.31674,0.3289,,0.38614,,,,0.33789,
0.2374,0.3351,0.2653,0.35,0.3289,,0.32783,,0.41878,,,,0.34693,
0.2531,0.2572,0.2213,0.3236,0.32783,,0.33444,0.4481,0.36452,,,,0.3121,
0.2283,0.261,0.373,0.3537,0.33444,0.4481,0.4989,0.44248,0.36349,,,,0.2986,
0.2933,0.4589,0.3992,0.4847,0.4989,0.44248,0.3638,0.39198,0.3367,,,,0.3342,
0.3348,0.4549,0.4431,0.59,0.3638,0.39198,0.37719,0.3684,0.3388,,,,0.29572,
0.3749,0.468,0.4526,0.5214,0.37719,0.3684,0.39134,0.36955,0.32644,,,,0.31852,
0.377,0.4895,0.3587,0.58,0.39134,0.36955,0.36472,0.36368,0.33616,,,,0.34627,
0.3159,0.4165,0.3393,0.4272,0.36472,0.36368,0.3482,0.36797,0.3152,,,0.2679,0.26537,
0.312,0.493,0.3854,0.424,0.3482,0.36797,0.3934,0.29728,0.3794,,,0.27212,0.2534,
0.3393,0.397,0.3888,0.4289,0.3934,0.29728,0.27786,0.2221,0.3522,,,0.26969,0.25487,
0.3235,0.3564,0.3636,0.4645,0.27786,0.223,0.29655,0.22441,0.39916,,,,0.3968,
0.2856,0.3169,0.3669,0.4794,0.29655,0.22441,0.3816,0.2747,0.4644,,,,0.33652,
0.2979,0.3613,0.3716,0.4914,0.3816,0.2747,0.31392,0.29341,0.4193,,,,0.32898,
0.319,0.3369,0.3693,0.464,0.31392,0.29341,0.3124,0.34574,0.37662,,,,0.365,
0.33,0.3945,0.3447,0.3869,0.3124,0.34574,0.33329,0.29534,0.3554,,,0.23664,0.25614,
0.5317,0.7758,0.5157,0.5454,0.33329,0.29534,0.3274,0.27327,0.36496,,,0.3438,0.34314,
